model,emb_type,subject,avg_ssim,std_ssim,count
MUSE,pipe_output,sub-10,0.247832,0.120305,200
NICE,eeg_embeds,sub-01,0.135150,0.082576,200
NICE,eeg_embeds,sub-02,0.154777,0.102343,200
NICE,eeg_embeds,sub-03,0.162845,0.103041,200
NICE,eeg_embeds,sub-04,0.164679,0.091675,200
NICE,eeg_embeds,sub-05,0.156159,0.105534,200
NICE,eeg_embeds,sub-06,0.159356,0.119355,200
NICE,eeg_embeds,sub-07,0.165425,0.107434,200
NICE,eeg_embeds,sub-08,0.167338,0.104892,200
NICE,eeg_embeds,sub-09,0.170475,0.101369,200
NICE,eeg_embeds,sub-10,0.167677,0.104230,200
NICE,image_embeds,sub-01,0.217241,0.115500,200
NICE,image_embeds,sub-02,0.217241,0.115500,200
NICE,image_embeds,sub-03,0.217241,0.115500,200
NICE,image_embeds,sub-10,0.217241,0.115500,200
NICE,pipe_output,sub-01,0.244020,0.116412,200
NICE,pipe_output,sub-02,0.227569,0.123804,200
NICE,pipe_output,sub-03,0.224778,0.128854,200
NICE,pipe_output,sub-04,0.228366,0.114520,200
NICE,pipe_output,sub-05,0.187314,0.112407,200
NICE,pipe_output,sub-06,0.141874,0.111497,200
NICE,pipe_output,sub-07,0.187260,0.116640,200
NICE,pipe_output,sub-08,0.189515,0.114948,200
NICE,pipe_output,sub-09,0.212660,0.111019,200
NICE,pipe_output,sub-10,0.191867,0.114195,200
Nerv1,eeg_embeds,sub-01,0.126036,0.094020,200
Nerv1,eeg_embeds,sub-02,0.147918,0.116161,200
Nerv1,eeg_embeds,sub-03,0.125835,0.096260,200
Nerv1,eeg_embeds,sub-04,0.149358,0.094396,200
Nerv1,eeg_embeds,sub-05,0.123728,0.090928,200
Nerv1,eeg_embeds,sub-06,0.137228,0.099553,200
Nerv1,eeg_embeds,sub-07,0.122215,0.086849,200
Nerv1,eeg_embeds,sub-08,0.140178,0.100309,200
Nerv1,eeg_embeds,sub-09,0.148731,0.109117,200
Nerv1,eeg_embeds,sub-10,0.143142,0.112147,200
Nerv1,image_embeds,sub-01,0.217241,0.115500,200
Nerv1,image_embeds,sub-02,0.217241,0.115500,200
Nerv1,image_embeds,sub-03,0.217241,0.115500,200
Nerv1,image_embeds,sub-04,0.217241,0.115500,200
Nerv1,image_embeds,sub-05,0.217241,0.115500,200
Nerv1,image_embeds,sub-06,0.217241,0.115500,200
Nerv1,image_embeds,sub-07,0.217241,0.115500,200
Nerv1,image_embeds,sub-08,0.217241,0.115500,200
Nerv1,image_embeds,sub-09,0.217241,0.115500,200
Nerv1,image_embeds,sub-10,0.217241,0.115500,200
Nerv1,pipe_output,sub-01,0.183643,0.131879,200
Nerv1,pipe_output,sub-02,0.189798,0.117985,200
Nerv1,pipe_output,sub-03,0.191082,0.122916,200
Nerv1,pipe_output,sub-04,0.187342,0.114463,200
Nerv1,pipe_output,sub-05,0.189161,0.121551,200
Nerv1,pipe_output,sub-06,0.199740,0.123787,200
Nerv1,pipe_output,sub-07,0.186284,0.109426,200
Nerv1,pipe_output,sub-08,0.186398,0.119307,200
Nerv1,pipe_output,sub-09,0.245074,0.141291,200
Nerv1,pipe_output,sub-10,0.193923,0.105229,200
Nerv2,eeg_embeds,sub-01,0.188989,0.115811,1000
Nerv2,eeg_embeds,sub-02,0.195366,0.138156,1000
Nerv2,eeg_embeds,sub-03,0.187841,0.113385,800
Nerv2,eeg_embeds,sub-04,0.178994,0.097608,800
Nerv2,eeg_embeds,sub-05,0.162218,0.111863,800
Nerv2,eeg_embeds,sub-06,0.155613,0.110776,800
Nerv2,eeg_embeds,sub-07,0.171610,0.116216,800
Nerv2,eeg_embeds,sub-08,0.180884,0.099306,800
Nerv2,eeg_embeds,sub-09,0.203733,0.133965,600
Nerv2,eeg_embeds,sub-10,0.186705,0.109256,1000
Nerv2,image_embeds,sub-01,0.233834,0.120223,1000
Nerv2,image_embeds,sub-02,0.233834,0.120223,1000
Nerv2,image_embeds,sub-03,0.235539,0.119712,600
Nerv2,image_embeds,sub-04,0.235539,0.119712,600
Nerv2,image_embeds,sub-05,0.235539,0.119712,600
Nerv2,image_embeds,sub-06,0.235539,0.119712,600
Nerv2,image_embeds,sub-07,0.235539,0.119712,600
Nerv2,image_embeds,sub-08,0.235539,0.119712,600
Nerv2,image_embeds,sub-09,0.241171,0.120186,400
Nerv2,image_embeds,sub-10,0.232723,0.119375,800
Nerv2,pipe_output,sub-01,0.233669,0.146592,1000
Nerv2,pipe_output,sub-02,0.190892,0.127550,1000
Nerv2,pipe_output,sub-03,0.222262,0.119593,800
Nerv2,pipe_output,sub-04,0.198221,0.113056,800
Nerv2,pipe_output,sub-05,0.176181,0.126908,800
Nerv2,pipe_output,sub-06,0.188383,0.109311,800
Nerv2,pipe_output,sub-07,0.187716,0.116560,800
Nerv2,pipe_output,sub-08,0.209508,0.132567,800
Nerv2,pipe_output,sub-09,0.217728,0.115799,600
Nerv2,pipe_output,sub-10,0.213754,0.130596,1000
