model,subject,emb_type,num_generated_images,fid_score
Nerv2,sub-07,eeg_embeds,800,215.48149056543588
Nerv1,sub-07,image_embeds,200,106.11968138570592
NICE,sub-02,eeg_embeds,200,235.26244491583896
Nerv1,sub-07,pipe_output,200,198.49987267243034
NICE,sub-05,pipe_output,200,199.1408341742864
NICE,sub-06,eeg_embeds,200,243.51899248089705
Nerv2,sub-03,image_embeds,600,94.02028960923587
Nerv1,sub-10,image_embeds,200,106.11968138570592
ATM_S,sub-07,eeg_embeds,200,232.16235529876408
NICE,sub-02,image_embeds,200,106.11968138570592
Nerv1,sub-08,pipe_output,200,202.16517626750107
Nerv2,sub-01,pipe_output,1000,169.5015584541189
MUSE,sub-09,pipe_output,200,195.3829523119319
Nerv2,sub-08,image_embeds,600,94.02028960923587
Nerv1,sub-05,pipe_output,200,206.4126234830889
Nerv2,sub-09,image_embeds,400,96.07219884803828
NICE,sub-10,eeg_embeds,200,237.16548480082943
Nerv1,sub-09,eeg_embeds,200,250.5629139779371
NICE,sub-03,eeg_embeds,200,242.24971764247522
Nerv2,sub-01,eeg_embeds,1000,217.94998297062955
NICE,sub-10,pipe_output,200,196.0814692178795
MUSE,sub-02,eeg_embeds,200,246.64054080038278
Nerv2,sub-02,pipe_output,1000,189.34529272109936
Nerv2,sub-10,pipe_output,1000,174.40170905092575
MUSE,sub-09,image_embeds,200,106.11968138570592
Nerv1,sub-01,pipe_output,200,198.26848580234417
MUSE,sub-01,image_embeds,200,106.11968138570592
Nerv1,sub-02,pipe_output,200,201.4411923209101
Nerv1,sub-07,eeg_embeds,200,241.32275294698496
MUSE,sub-06,eeg_embeds,200,243.10690504101382
Nerv1,sub-09,pipe_output,200,191.88419301821952
ATM_S,sub-03,eeg_embeds,200,238.5674407514141
MUSE,sub-05,image_embeds,200,106.11968138570592
MUSE,sub-03,eeg_embeds,200,246.99249266339015
Nerv2,sub-10,image_embeds,800,94.6076412525232
NICE,sub-06,pipe_output,200,272.0045359593564
Nerv2,sub-04,pipe_output,800,175.8179874154339
NICE,sub-03,pipe_output,200,264.8890465336279
Nerv2,sub-04,image_embeds,600,94.02028960923587
ATM_S,sub-07,image_embeds,200,106.11968138570592
ATM_S,sub-04,image_embeds,200,106.11968138570592
ATM_S,sub-09,image_embeds,200,106.11968138570592
MUSE,sub-04,eeg_embeds,200,257.6707114094038
NICE,sub-01,image_embeds,200,106.11968138570592
Nerv1,sub-03,eeg_embeds,200,259.94405718067225
ATM_S,sub-06,pipe_output,200,202.69998279241233
NICE,sub-05,eeg_embeds,200,248.3820437599004
ATM_S,sub-05,eeg_embeds,200,248.94351230155894
ATM_S,sub-01,image_embeds,200,106.11968138570592
Nerv1,sub-06,eeg_embeds,200,241.24264227053018
MUSE,sub-02,pipe_output,200,218.45204888047317
ATM_S,sub-10,eeg_embeds,200,234.9774888052683
MUSE,sub-10,image_embeds,200,106.11968138570592
MUSE,sub-04,pipe_output,200,198.13334007376406
MUSE,sub-09,eeg_embeds,200,242.9825737992251
MUSE,sub-03,image_embeds,200,106.11968138570592
Nerv1,sub-04,eeg_embeds,200,247.4013453372172
Nerv1,sub-05,eeg_embeds,200,251.50990674875877
ATM_S,sub-07,pipe_output,200,201.52278966911422
Nerv1,sub-06,image_embeds,200,106.11968138570592
NICE,sub-10,image_embeds,200,106.11968138570592
Nerv2,sub-06,eeg_embeds,800,218.8155961467363
Nerv1,sub-04,image_embeds,200,106.11968138570592
ATM_S,sub-08,eeg_embeds,200,250.31664371949802
ATM_S,sub-03,image_embeds,200,106.11968138570592
