model,subject,emb_type,num_generated_images,fid_score,std_fid_score
Nerv2,sub-08,pipe_output,800,176.235404,
Nerv2,sub-09,eeg_embeds,600,204.613120,
Nerv2,sub-09,image_embeds,400,96.072199,
Nerv2,sub-09,pipe_output,600,208.126956,
Nerv2,sub-10,eeg_embeds,1000,217.229593,
Nerv2,sub-10,image_embeds,800,94.607641,
Nerv2,sub-10,pipe_output,1000,174.401709,
ATM_S,AVERAGE,eeg_embeds,10,242.033552,6.338302
ATM_S,AVERAGE,image_embeds,10,106.119681,0.000000
ATM_S,AVERAGE,pipe_output,10,197.116799,18.948900
MUSE,AVERAGE,eeg_embeds,10,244.461323,7.123474
MUSE,AVERAGE,image_embeds,10,106.119681,0.000000
MUSE,AVERAGE,pipe_output,10,198.946612,12.076209
NICE,AVERAGE,eeg_embeds,10,241.687456,9.711839
NICE,AVERAGE,image_embeds,4,106.119681,0.000000
NICE,AVERAGE,pipe_output,10,218.657030,28.875954
Nerv1,AVERAGE,eeg_embeds,10,246.613961,6.136554
Nerv1,AVERAGE,image_embeds,10,106.119681,0.000000
Nerv1,AVERAGE,pipe_output,10,199.836557,6.033462
Nerv2,AVERAGE,eeg_embeds,10,218.887047,7.489090
Nerv2,AVERAGE,image_embeds,10,93.898610,1.147066
Nerv2,AVERAGE,pipe_output,10,183.768797,13.316974
